oldname,newname
Median_age_persons,Median Age
Median_mortgage_repay_monthly,Median Monthly Mortgage
Median_tot_prsnl_inc_weekly,Median Ind Income
Median_rent_weekly,Median Weekly Rent
Median_tot_fam_inc_weekly,Median Fam Income
Median_tot_hhd_inc_weekly,Median Hhd Income
Average_household_size,Av Household Size
# car ownership
Num_MVs_per_dweling_0_MVs,Car: 0 car
Num_MVs_per_dweling_1_MVs,Car: 1 car
Num_MVs_per_dweling_2_MVs,Car: 2 car
Num_MVs_per_dweling_3_MVs,Car: 3 car
Num_MVs_per_dweling_4mo_MVs,Car: 4+car
# Education
P_Y12e_Tot,Edu: Yr 12
P_Y11e_Tot,Edu: Yr 11
P_Y10e_Tot,Edu: Yr 10
P_Y9e_Tot,Edu: Yr 9
P_Y8b_Tot,Edu: Yr 8 or below
P_DNGTS_Tot,Edu: Did not go to school
P_PGrad_Deg_Total,Edu: Postgrad
P_GradDip_and_GradCert_Total,Edu: Grad dip/cert
P_BachDeg_Total,Edu: Bachelor
P_AdvDip_and_Dip_Total,Edu: Dip
P_Cert_Lev_Tot_Total,Edu: Cert
# Migration
Tot_Before_1946,Mig: pre 1946
Tot_1946_1955,Mig: migr 1946-55
Tot_1956_1965,Mig: migr 1956-65
Tot_1966_1975,Mig: migr 1966-75
Tot_1976_1985,Mig: migr 1976-85
Tot_1986_1995,Mig: migr 1986-95
Tot_1996_2005,Mig: migr 1996-2005
Tot_2006_2010,Mig: migr 2006-10
Tot_2011,Mig: migr 2011
Tot_2012,Mig: migr 2012
Tot_2013,Mig: migr 2013
Tot_2014,Mig: migr 2014
Tot_2015,Mig: migr 2015
Tot_2016,Mig: migr 2016
# Dwelling
O_OR_Total,Dwe: Own
O_MTG_Total,Dwe: Mortgage
R_RE_Agt_Total,Dwe: Rent
R_ST_h_auth_Total,Dwe: Govt housing
# Disability
P_Tot_Need_for_assistance,Disability: Need Assistance
P_Tot_No_need_for_assistance,Disability: Don't Need assistance
# Industry
