sa1_7digitcode_2016,cluster
1100701,Country Towns
1100702,
1100703,Country Towns
1100704,1100704
1100705,Country Towns
1100706,Country Towns
1100707,Country Towns
1100708,1100708
1100709,
1100710,Country Towns
1100801,
1100802,
1100803,Country Towns
1100804,1100804
1100805,Country Towns
1100806,
1100807,Country Towns
1100808,1100808
1100810,
1100811,
1100812,1100812
1100813,
1100814,
1100815,Country Towns
1100816,1100816
1100817,Country Towns
1100818,Country Towns
1100819,
1100820,1100820
1100821,
1100822,
1100823,
1100901,
1100902,Country Towns
1100904,1100904
1100905,Country Towns
1100907,Inner Suburbs
1100908,1100908
1100909,
1100910,
1100911,Country Towns
1100912,1100912
1100913,
1100914,
1100915,Inner Suburbs
1100916,1100916
1100917,Country Towns
1100918,Country Towns
1100919,Inner Suburbs
1100920,1100920
1100921,
1100923,Country Towns
1100924,1100924
1100925,
1100926,
1100927,
1100928,1100928
1100929,Inner Suburbs
1101001,Inner Suburbs
1101002,
1101003,
1101004,1101004
1101006,
1101007,Inner Suburbs
1101008,1101008
1101009,Country Towns
1101010,Inner Suburbs
1101011,Country Towns
1101012,1101012
1101014,
1101015,
1101016,1101016
1101017,Inner Suburbs
1101101,
1101102,
1101103,
1101104,1101104
1101105,
1101106,
1101107,
1101108,1101108
1101109,
1101110,
1101111,
1101112,1101112
1101113,
1101115,
1101116,1101116
1101117,
1101118,
1101119,
1101120,1101120
1101122,
1101123,
1101125,
1101126,
1101127,
1101128,1101128
1101129,
1101130,
1101131,
1101132,1101132
1101133,
1101134,
1101135,
1101136,1101136
1101137,
1101139,
1101140,1101140
1101141,
1101142,
1101143,Fringe-Growth
1101144,1101144
1101145,
1101146,
1101147,Fringe-Growth
1101148,1101148
1101149,
1101150,
1101151,
1101152,1101152
1101201,Inner Suburbs
1101202,
1101203,Fringe-Growth
1101204,1101204
1101205,
1101206,
1101207,
1101208,1101208
1101209,
1101210,
1101211,
1101212,1101212
1101213,
1101214,
1101215,Fringe-Growth
1101216,1101216
1101217,Country Towns
1101218,
1101219,Country Towns
1101220,1101220
1101221,
1101222,
1101223,Fringe-Growth
1101224,1101224
1101227,
1101228,1101228
1101229,
1101230,Country Towns
1101231,
1101232,1101232
1101301,Country Towns
1101302,Country Towns
1101303,Country Towns
1101304,1101304
1101305,Country Towns
1101306,Country Towns
1101307,Country Towns
1101308,1101308
1101401,Country Towns
1101402,Country Towns
1101403,Country Towns
1101404,1101404
1101405,Country Towns
1101406,Country Towns
1101407,Country Towns
1101408,1101408
1101409,Country Towns
1101410,Country Towns
1101411,Country Towns
1101412,1101412
1101413,Country Towns
1101414,Country Towns
1101415,Country Towns
1101417,Country Towns
1101418,Country Towns
1101419,Country Towns
1101502,Inner Suburbs
1101503,Country Towns
1101505,Country Towns
1101511,Country Towns
1101512,1101512
1101514,
1101515,Country Towns
1101516,1101516
1101517,Country Towns
1101518,
1101519,
1101520,1101520
1101521,Country Towns
1101522,
1101523,Country Towns
1101524,1101524
1101601,Inner Suburbs
1101602,Country Towns
1101603,Country Towns
1101604,1101604
1101605,
1101606,
1101607,Country Towns
1101608,1101608
1101609,
1101610,
1101611,Country Towns
1101612,1101612
1101613,
1101614,Inner Suburbs
1101615,
1101616,1101616
1101617,Inner Suburbs
1101618,
1101619,Country Towns
1101620,1101620
1101701,Country Towns
1101702,Country Towns
1101703,Country Towns
1101704,1101704
1101705,Country Towns
1101706,Country Towns
1101707,Country Towns
1101708,1101708
1101709,
1101710,Country Towns
1101711,Country Towns
1101712,1101712
1101713,Country Towns
1101716,1101716
1101717,Country Towns
1101718,Country Towns
1101719,Country Towns
1101720,1101720
1101721,Country Towns
1101722,Country Towns
1101801,Country Towns
1101802,Country Towns
1101803,
1101804,1101804
1101805,
1101806,Country Towns
1101807,Country Towns
1101808,1101808
1101809,Country Towns
1101810,Country Towns
1101811,Country Towns
1101812,1101812
1101813,
1101814,Country Towns
1101815,Country Towns
1101816,1101816
1101817,Country Towns
1101818,Country Towns
1101819,Country Towns
1101820,1101820
1101821,Country Towns
1101822,Country Towns
1101823,Country Towns
1101901,Country Towns
1101902,Country Towns
1101903,Country Towns
1101904,1101904
1101905,Country Towns
1101906,Country Towns
1101907,Country Towns
1101909,Country Towns
1101911,Country Towns
1101912,1101912
1101913,Country Towns
1101914,
1101915,
1101916,1101916
1101917,
1101918,Country Towns
1101919,
1101920,1101920
1101921,
1101922,Country Towns
1101923,Country Towns
1102001,
1102002,
1102003,Country Towns
1102004,1102004
1102005,Country Towns
1102006,Country Towns
1102007,Country Towns
1102008,1102008
1102009,Country Towns
1102011,
1102013,Country Towns
1102014,Country Towns
1102015,Country Towns
1102016,1102016
1102017,Country Towns
1102018,Country Towns
1102019,Country Towns
1102020,1102020
1102022,Country Towns
1102023,
1102024,1102024
1102025,Country Towns
1102026,Country Towns
1102027,Country Towns
1102028,1102028
1102029,Country Towns
1102030,Country Towns
1102031,Country Towns
1102032,1102032
1102101,Country Towns
1102102,Country Towns
1102104,1102104
1102105,Country Towns
1102106,Country Towns
1102107,
1102108,1102108
1102109,Country Towns
1102201,Country Towns
1102301,Country Towns
1102302,Country Towns
1102303,
1102304,1102304
1102305,Country Towns
1102306,Country Towns
1102307,Country Towns
1102308,1102308
1102309,Country Towns
1102310,Country Towns
1102401,Country Towns
1102402,Country Towns
1102403,Country Towns
1102404,1102404
1102405,Country Towns
1102406,Country Towns
1102407,Country Towns
1102408,1102408
1102409,Country Towns
1102410,Country Towns
1102411,Country Towns
1102412,1102412
1102502,Country Towns
1102503,Country Towns
1102504,1102504
1102505,Country Towns
1102506,Country Towns
1102507,Country Towns
1102508,1102508
1102509,Country Towns
1102510,
1102511,Country Towns
1102512,1102512
1102513,
1102514,Country Towns
1102516,1102516
1102517,Country Towns
1102518,
1102519,Country Towns
1102520,1102520
1102521,Country Towns
1102522,Country Towns
1102523,Country Towns
1102524,1102524
1102525,Country Towns
1102526,
1102527,Country Towns
1102528,1102528
1102529,Country Towns
1102530,Country Towns
1102532,1102532
1102601,Country Towns
1102602,Country Towns
1102603,Country Towns
1102604,1102604
1102605,Country Towns
1102606,Country Towns
1102607,Country Towns
1102608,1102608
1102609,Country Towns
1102610,Country Towns
1102611,Country Towns
1102612,1102612
1102613,Country Towns
1102614,Country Towns
1102615,Country Towns
1102616,1102616
1102617,Country Towns
1102618,
1102619,Country Towns
1102620,1102620
1102621,Country Towns
1102622,
1102623,Country Towns
1102701,Country Towns
1102702,Country Towns
1102703,Country Towns
1102704,1102704
1102705,Country Towns
1102706,Country Towns
1102707,Country Towns
1102708,1102708
1102709,Country Towns
1102710,Country Towns
1102712,1102712
1102713,Country Towns
1102715,Country Towns
1102717,Country Towns
1102718,Country Towns
1102719,Country Towns
1102720,1102720
1102721,Country Towns
1102722,Remote
1102723,Country Towns
1102724,1102724
1102725,Country Towns
1102726,Country Towns
1102727,Country Towns
1102728,1102728
1102729,Country Towns
1102802,
1102803,
1102804,1102804
1102805,
1102806,Country Towns
1102807,Fringe-Growth
1102808,1102808
1102809,
1102810,
1102811,
1102812,1102812
1102813,
1102814,
1102815,
1102816,1102816
1102817,
1102818,
1102901,
1102902,
1102903,
1102904,1102904
1102905,
1102906,
1102907,Country Towns
1102908,1102908
1102909,Country Towns
1102910,
1102911,
1102912,1102912
1102913,
1102914,
1102915,
1102916,1102916
1102917,
1102918,
1102919,Country Towns
1102920,1102920
1102922,
1102923,
1102924,1102924
1102925,Country Towns
1102926,
1102927,
1102928,1102928
1103002,
1103003,
1103004,1103004
1103005,
1103006,
1103007,
1103008,1103008
1103009,
1103010,Country Towns
1103011,Country Towns
1103012,1103012
1103013,Country Towns
1103014,
1103101,
1103102,Country Towns
1103103,Country Towns
1103104,1103104
1103105,
1103106,Country Towns
1103107,
1103108,1103108
1103109,
1103110,
1103111,
1103112,1103112
1103113,
1103114,
1103115,
1103116,1103116
1103117,Country Towns
1103118,
1103119,
1103120,1103120
1103121,
1103122,Country Towns
1103123,Country Towns
1103124,1103124
1103125,Country Towns
1103126,Country Towns
1103127,
1103128,1103128
1103129,
1103130,
1103131,Country Towns
1103133,
1103134,
1103135,
1103136,1103136
1103137,Remote
1103138,Country Towns
1103201,
1103202,Country Towns
1103203,
1103204,1103204
1103205,
1103206,Country Towns
1103207,
1103208,1103208
1103210,Country Towns
1103211,
1103212,1103212
1103213,
1103214,
1103215,Inner Suburbs
1103216,1103216
1103217,
1103218,
1103219,
1103220,1103220
1103221,
1103224,1103224
1103225,
1103226,
1103227,Country Towns
1103228,1103228
1103229,Inner Suburbs
1103230,Country Towns
1103231,Country Towns
1103232,1103232
1103233,
1103234,
1103235,Country Towns
1103236,1103236
1103237,
1103238,
1103239,Country Towns
1103240,1103240
1103241,
1103242,
1103243,
1103244,1103244
1103245,
1103246,
1103247,
1103248,1103248
1103301,
1103302,
1103303,
1103304,1103304
1103305,
1103306,
1103307,
1103308,1103308
1103309,Remote
1103310,
1103311,
1103312,1103312
1103313,
1103314,
1103315,
1103317,
1103318,
1103319,
1103320,1103320
1103401,
1103402,Country Towns
1103403,Country Towns
1103404,1103404
1103405,
1103406,Country Towns
1103407,
1103408,1103408
1103409,
1103410,
1103411,
1103412,1103412
1103413,
1103414,Country Towns
1103415,Country Towns
1103416,1103416
1103417,Country Towns
1103418,Country Towns
1103419,
1103501,
1103502,Country Towns
1103503,
1103504,1103504
1103505,
1103506,
1103507,Country Towns
1103508,1103508
1103509,
1103510,
1103511,
1103512,1103512
1103513,
1103514,
1103515,Country Towns
1103516,1103516
1103517,
1103601,
1103602,
1103603,
1103604,1103604
1103605,
1103606,
1103607,
1103608,1103608
1103609,
1103610,
1103611,
1103612,1103612
1103613,
1103614,
1103615,
1103616,1103616
1103617,
1103618,
1103619,Fringe-Growth
1103620,1103620
1103621,
1103622,
1103701,Country Towns
1103702,
1103703,Country Towns
1103704,1103704
1103705,
1103706,Country Towns
1103707,
1103708,1103708
1103709,
1103710,
1103711,
1103712,1103712
1103713,Country Towns
1103714,
1103801,
1103802,
1103803,Country Towns
1103804,1103804
