city,state,country,geonameid
Whyalla,South Australia,Australia,2058430
Rockingham,Western Australia,Australia,2062338
Prospect,South Australia,Australia,2062944
Port Hedland,Western Australia,Australia,2063042
Perth,Western Australia,Australia,2063523
Murray Bridge,South Australia,Australia,2065176
Mount Isa,Queensland,Australia,2065594
Morphett Vale,South Australia,Australia,2065740
Mandurah,Western Australia,Australia,2067119
Kwinana,Western Australia,Australia,2068079
Kalgoorlie,Western Australia,Australia,2068823
Gosnells,Western Australia,Australia,2070571
Geraldton,Western Australia,Australia,2070998
Gawler,South Australia,Australia,2071059
Fremantle,Western Australia,Australia,2071223
Darwin,Northern Territory,Australia,2073124
Busselton,Western Australia,Australia,2075265
Bunbury,Western Australia,Australia,2075432
Armadale,Western Australia,Australia,2077579
Alice Springs,Northern Territory,Australia,2077895
Albany,Western Australia,Australia,2077963
Adelaide,South Australia,Australia,2078025
Woodridge,Queensland,Australia,2143069
Wodonga,Victoria,Australia,2143285
Werribee,Victoria,Australia,2144095
Warrnambool,Victoria,Australia,2144528
Wantirna South,Victoria,Australia,2144728
Wangaratta,Victoria,Australia,2144764
Wagga Wagga,New South Wales,Australia,2145110
Traralgon,Victoria,Australia,2146108
Townsville,Queensland,Australia,2146142
Toowoomba,Queensland,Australia,2146268
Thornbury,Victoria,Australia,2146793
Thomastown,Victoria,Australia,2146827
Tarneit,Victoria,Australia,2147357
Taree,New South Wales,Australia,2147381
Tamworth,New South Wales,Australia,2147497
Sydney,New South Wales,Australia,2147714
Surfers Paradise,Queensland,Australia,2147849
Sunnybank,Queensland,Australia,2147892
Sunbury,Victoria,Australia,2147914
Port Stephens,New South Wales,Australia,2148398
Springvale,Victoria,Australia,2148591
Southport,Queensland,Australia,2148928
South Grafton,New South Wales,Australia,2148997
Shepparton,Victoria,Australia,2149645
Seaford,Victoria,Australia,2149975
Saint Kilda,Victoria,Australia,2150660
Saint Albans,Victoria,Australia,2150717
Rowville,Victoria,Australia,2150894
Rockhampton,Queensland,Australia,2151437
Richmond,Victoria,Australia,2151649
Reservoir,Victoria,Australia,2151716
Queanbeyan,New South Wales,Australia,2152286
Quakers Hill,New South Wales,Australia,2152329
Preston,Victoria,Australia,2152558
Port Macquarie,New South Wales,Australia,2152659
Point Cook,Victoria,Australia,2152819
Pakenham South,Victoria,Australia,2153951
Orange,New South Wales,Australia,2154219
Nowra,New South Wales,Australia,2154787
Northcote,Victoria,Australia,2155001
Noble Park,Victoria,Australia,2155204
Newcastle,New South Wales,Australia,2155472
Nerang,Queensland,Australia,2155542
Narre Warren,Victoria,Australia,2155718
Narangba,Queensland,Australia,2155787
Mulgrave,Victoria,Australia,2156340
Mount Martha,Victoria,Australia,2156578
Mount Gambier,South Australia,Australia,2156643
Mount Eliza,Victoria,Australia,2156663
Mosman,New South Wales,Australia,2156813
