city,state,country
Sydney,New South Wales,Australia
South Melbourne,Victoria,Australia
Brisbane,Queensland,Australia
Perth,Western Australia,Australia
Adelaide,South Australia,Australia
Newcastle,New South Wales,Australia
Gold Coast,Queensland,Australia
Cranbourne,Victoria,Australia
Canberra,Australian Capital Territory,Australia
Wollongong,New South Wales,Australia
Geelong,Victoria,Australia
Cairns,Queensland,Australia
Townsville,Queensland,Australia
Albury,New South Wales,Australia
Nowra,New South Wales,Australia
Darwin,Northern Territory,Australia
Toowoomba,Queensland,Australia
Ballarat,Victoria,Australia
Bendigo,Victoria,Australia
Hobart,Tasmania,Australia
North Mackay,Queensland,Australia
Mandurah,Western Australia,Australia
Launceston,Tasmania,Australia
Rockhampton,Queensland,Australia
Coffs Harbour,New South Wales,Australia
Wagga Wagga,New South Wales,Australia
Bundaberg,Queensland,Australia
Port Macquarie,New South Wales,Australia
Mildura,Victoria,Australia
Taree,New South Wales,Australia
Orange,New South Wales,Australia
Caloundra,Queensland,Australia
West Tamworth,New South Wales,Australia
Kalgoorlie,Western Australia,Australia
Shepparton,Victoria,Australia
Mount Isa,Queensland,Australia
Tweed Heads,New South Wales,Australia
Queanbeyan,New South Wales,Australia
Melton,Victoria,Australia
Dubbo,New South Wales,Australia
Caboolture,Queensland,Australia
North Lismore,New South Wales,Australia
Gladstone,Queensland,Australia
Warrnambool,Victoria,Australia
Sunbury,Victoria,Australia
Alice Springs,Northern Territory,Australia
Geraldton,Western Australia,Australia
Bunbury,Western Australia,Australia
Albany,Western Australia,Australia
Hervey Bay,Queensland,Australia
Mount Gambier,South Australia,Australia
Armidale,New South Wales,Australia
Whyalla,South Australia,Australia
Sale,Victoria,Australia
Katoomba,New South Wales,Australia
Goulburn,New South Wales,Australia
Maryborough,Queensland,Australia
Kwinana,Western Australia,Australia
Burnie,Tasmania,Australia
Echuca,Victoria,Australia
Devonport,Tasmania,Australia
Roebourne,Western Australia,Australia
East Maitland,New South Wales,Australia
Traralgon,Victoria,Australia
Murray Bridge,South Australia,Australia
Forster,New South Wales,Australia
Broken Hill,New South Wales,Australia
Karratha,Western Australia,Australia
Gawler,South Australia,Australia
Griffith,New South Wales,Australia
Kingston Beach,Tasmania,Australia
Port Hedland,Western Australia,Australia
Ballina,New South Wales,Australia
Wangaratta,Victoria,Australia
Port Augusta West,South Australia,Australia
Richmond North,New South Wales,Australia
Singleton,New South Wales,Australia
Bongaree,Queensland,Australia
Port Lincoln,South Australia,Australia
Broome,Western Australia,Australia
Horsham,Victoria,Australia
Port Pirie,South Australia,Australia
Warwick,Queensland,Australia
Kempsey,New South Wales,Australia
Portland,Victoria,Australia
Gympie South,Queensland,Australia
